year,week,matchup_id,home_team_id,home_team_name,home_team_abbrev,home_score,away_team_id,away_team_name,away_team_abbrev,away_score,winner,playoff_type,is_playoff,margin,winning_team_id,winning_team_name,winning_score,losing_team_id,losing_team_name,losing_score
2020,3,17,13,Gotham City Ineffective Cop,GCC,108.92,17,Vic top Max bottom,KUNt,131.5,AWAY,NONE,False,22.58,17,Vic top Max bottom,131.5,13,Gotham City Ineffective Cop,108.92
2020,4,18,10,Fk it chuck it Game time shit,LYDE,115.58,1,Clowntown Jabronis,JOOS,154.42,AWAY,NONE,False,38.84,1,Clowntown Jabronis,154.42,10,Fk it chuck it Game time shit,115.58
2020,4,19,14,Max Top Vic Bottom,GOLA,131.24,5,Team Hodder,A$$,135.0,AWAY,NONE,False,3.76,5,Team Hodder,135.0,14,Max Top Vic Bottom,131.24
2020,4,20,16,DeAndre WAPkins,8=D~,115.74,12,Team Ron Jones Pwns,JIM,90.1,HOME,NONE,False,25.64,16,DeAndre WAPkins,115.74,12,Team Ron Jones Pwns,90.1
2020,4,21,9,Wet Ass Patrick!,WAP,127.62,11,The Twins,MRVP,139.76,AWAY,NONE,False,12.14,11,The Twins,139.76,9,Wet Ass Patrick!,127.62
2020,4,22,17,Vic top Max bottom,KUNt,76.44,7,Team Curtis,CURT,87.52,AWAY,NONE,False,11.08,7,Team Curtis,87.52,17,Vic top Max bottom,76.44
2020,4,23,13,Gotham City Ineffective Cop,GCC,94.3,15,Daniel Jones,fack,93.9,HOME,NONE,False,0.4,13,Gotham City Ineffective Cop,94.3,15,Daniel Jones,93.9
2020,5,24,14,Max Top Vic Bottom,GOLA,81.64,10,Fk it chuck it Game time shit,LYDE,111.94,AWAY,NONE,False,30.3,10,Fk it chuck it Game time shit,111.94,14,Max Top Vic Bottom,81.64
2020,5,25,1,Clowntown Jabronis,JOOS,117.5,16,DeAndre WAPkins,8=D~,88.74,HOME,NONE,False,28.76,1,Clowntown Jabronis,117.5,16,DeAndre WAPkins,88.74
2020,5,26,5,Team Hodder,A$$,131.28,12,Team Ron Jones Pwns,JIM,117.26,HOME,NONE,False,14.02,5,Team Hodder,131.28,12,Team Ron Jones Pwns,117.26
2020,5,27,17,Vic top Max bottom,KUNt,119.2,9,Wet Ass Patrick!,WAP,135.8,AWAY,NONE,False,16.6,9,Wet Ass Patrick!,135.8,17,Vic top Max bottom,119.2
2020,5,28,11,The Twins,MRVP,89.66,13,Gotham City Ineffective Cop,GCC,98.84,AWAY,NONE,False,9.18,13,Gotham City Ineffective Cop,98.84,11,The Twins,89.66
2020,5,29,7,Team Curtis,CURT,101.62,15,Daniel Jones,fack,77.68,HOME,NONE,False,23.94,7,Team Curtis,101.62,15,Daniel Jones,77.68
2020,6,30,10,Fk it chuck it Game time shit,LYDE,114.42,9,Wet Ass Patrick!,WAP,98.22,HOME,NONE,False,16.2,10,Fk it chuck it Game time shit,114.42,9,Wet Ass Patrick!,98.22
2020,6,31,16,DeAndre WAPkins,8=D~,85.12,13,Gotham City Ineffective Cop,GCC,102.44,AWAY,NONE,False,17.32,13,Gotham City Ineffective Cop,102.44,16,DeAndre WAPkins,85.12
2020,6,32,12,Team Ron Jones Pwns,JIM,172.2,15,Daniel Jones,fack,94.06,HOME,NONE,False,78.14,12,Team Ron Jones Pwns,172.2,15,Daniel Jones,94.06
2020,6,33,5,Team Hodder,A$$,54.54,7,Team Curtis,CURT,97.98,AWAY,NONE,False,43.44,7,Team Curtis,97.98,5,Team Hodder,54.54
2020,6,34,1,Clowntown Jabronis,JOOS,98.44,11,The Twins,MRVP,72.48,HOME,NONE,False,25.96,1,Clowntown Jabronis,98.44,11,The Twins,72.48
2020,6,35,14,Max Top Vic Bottom,GOLA,68.22,17,Vic top Max bottom,KUNt,133.0,AWAY,NONE,False,64.78,17,Vic top Max bottom,133.0,14,Max Top Vic Bottom,68.22
2020,7,36,9,Wet Ass Patrick!,WAP,108.94,16,DeAndre WAPkins,8=D~,106.96,HOME,NONE,False,1.98,9,Wet Ass Patrick!,108.94,16,DeAndre WAPkins,106.96
2020,7,37,13,Gotham City Ineffective Cop,GCC,132.72,12,Team Ron Jones Pwns,JIM,124.26,HOME,NONE,False,8.46,13,Gotham City Ineffective Cop,132.72,12,Team Ron Jones Pwns,124.26
2020,7,38,15,Daniel Jones,fack,148.68,5,Team Hodder,A$$,102.02,HOME,NONE,False,46.66,15,Daniel Jones,148.68,5,Team Hodder,102.02
2020,7,39,7,Team Curtis,CURT,101.58,1,Clowntown Jabronis,JOOS,59.72,HOME,NONE,False,41.86,7,Team Curtis,101.58,1,Clowntown Jabronis,59.72
2020,7,40,11,The Twins,MRVP,118.16,14,Max Top Vic Bottom,GOLA,76.36,HOME,NONE,False,41.8,11,The Twins,118.16,14,Max Top Vic Bottom,76.36
2020,7,41,17,Vic top Max bottom,KUNt,70.3,10,Fk it chuck it Game time shit,LYDE,117.6,AWAY,NONE,False,47.3,10,Fk it chuck it Game time shit,117.6,17,Vic top Max bottom,70.3
2020,8,42,12,Team Ron Jones Pwns,JIM,78.36,9,Wet Ass Patrick!,WAP,96.04,AWAY,NONE,False,17.68,9,Wet Ass Patrick!,96.04,12,Team Ron Jones Pwns,78.36
2020,8,43,5,Team Hodder,A$$,112.64,13,Gotham City Ineffective Cop,GCC,96.24,HOME,NONE,False,16.4,5,Team Hodder,112.64,13,Gotham City Ineffective Cop,96.24
2020,8,44,1,Clowntown Jabronis,JOOS,116.32,15,Daniel Jones,fack,98.22,HOME,NONE,False,18.1,1,Clowntown Jabronis,116.32,15,Daniel Jones,98.22
2020,8,45,14,Max Top Vic Bottom,GOLA,85.12,7,Team Curtis,CURT,98.16,AWAY,NONE,False,13.04,7,Team Curtis,98.16,14,Max Top Vic Bottom,85.12
2020,8,46,10,Fk it chuck it Game time shit,LYDE,98.0,11,The Twins,MRVP,99.76,AWAY,NONE,False,1.76,11,The Twins,99.76,10,Fk it chuck it Game time shit,98.0
2020,8,47,16,DeAndre WAPkins,8=D~,84.54,17,Vic top Max bottom,KUNt,122.64,AWAY,NONE,False,38.1,17,Vic top Max bottom,122.64,16,DeAndre WAPkins,84.54
2020,9,48,9,Wet Ass Patrick!,WAP,111.4,5,Team Hodder,A$$,99.8,HOME,NONE,False,11.6,9,Wet Ass Patrick!,111.4,5,Team Hodder,99.8
2020,9,49,13,Gotham City Ineffective Cop,GCC,111.16,1,Clowntown Jabronis,JOOS,116.1,AWAY,NONE,False,4.94,1,Clowntown Jabronis,116.1,13,Gotham City Ineffective Cop,111.16
2020,9,50,15,Daniel Jones,fack,96.94,14,Max Top Vic Bottom,GOLA,48.34,HOME,NONE,False,48.6,15,Daniel Jones,96.94,14,Max Top Vic Bottom,48.34
2020,9,51,7,Team Curtis,CURT,138.5,10,Fk it chuck it Game time shit,LYDE,135.42,HOME,NONE,False,3.08,7,Team Curtis,138.5,10,Fk it chuck it Game time shit,135.42
2020,9,52,11,The Twins,MRVP,93.06,16,DeAndre WAPkins,8=D~,82.6,HOME,NONE,False,10.46,11,The Twins,93.06,16,DeAndre WAPkins,82.6
2020,9,53,17,Vic top Max bottom,KUNt,101.08,12,Team Ron Jones Pwns,JIM,64.04,HOME,NONE,False,37.04,17,Vic top Max bottom,101.08,12,Team Ron Jones Pwns,64.04
2020,10,54,1,Clowntown Jabronis,JOOS,96.46,9,Wet Ass Patrick!,WAP,119.5,AWAY,NONE,False,23.04,9,Wet Ass Patrick!,119.5,1,Clowntown Jabronis,96.46
2020,10,55,14,Max Top Vic Bottom,GOLA,74.92,13,Gotham City Ineffective Cop,GCC,106.94,AWAY,NONE,False,32.02,13,Gotham City Ineffective Cop,106.94,14,Max Top Vic Bottom,74.92
2020,10,56,10,Fk it chuck it Game time shit,LYDE,73.48,15,Daniel Jones,fack,100.38,AWAY,NONE,False,26.9,15,Daniel Jones,100.38,10,Fk it chuck it Game time shit,73.48
2020,10,57,16,DeAndre WAPkins,8=D~,103.88,7,Team Curtis,CURT,103.06,HOME,NONE,False,0.82,16,DeAndre WAPkins,103.88,7,Team Curtis,103.06
2020,10,58,12,Team Ron Jones Pwns,JIM,86.32,11,The Twins,MRVP,102.74,AWAY,NONE,False,16.42,11,The Twins,102.74,12,Team Ron Jones Pwns,86.32
2020,10,59,5,Team Hodder,A$$,68.62,17,Vic top Max bottom,KUNt,83.86,AWAY,NONE,False,15.24,17,Vic top Max bottom,83.86,5,Team Hodder,68.62
